sample_name_dbs,haplotype_number,haplotype_reads,haplotype_list
K13 H00022,3,2010,"H38,H40,H414"
K04 H00005,5,2109,"H1,H11,H24,H88,H103"
M07 H00154,1,1811,H3
M15 A00089,11,10942,"H2,H3,H4,H5,H12,H13,H16,H21,H23,H25,H37"
M16 A00023,3,1206,"H2,H5,H8"
S02 A00010,12,6699,"H2,H3,H4,H7,H12,H14,H16,H25,H41,H55,H405,H444"
M15 A00091,1,669,H146
S01 A00036,1,402,H53
M15 A00017,5,2486,"H6,H12,H29,H42,H69"
K13 A00022,1,1094,H245
S01 A00043,1,1722,H179
M15 A00035,2,3210,"H3,H42"
M09 H00108,2,2160,"H30,H51"
M14-130717-3,2,969,"H6,H9"
K01-120617-5,2,4877,"H5,H74"
K01-120617-7,5,5769,"H12,H13,H15,H35,H49"
K01-120617-8,3,9201,"H5,H6,H22"
K01-200617-5-R,3,7470,"H2,H5,H74"
K01-200617-6-R,1,10342,H12
K01-120617-4-R,5,3717,"H2,H10,H22,H28,H55"
K01-071217-7,4,7361,"H5,H8,H14,H25"
M14-140917-5,3,7646,"H5,H8,H47"
M14-170817-3,1,10004,H18
M14-250717-2-R,1,11374,H12
M14-210617-5-R,1,6901,H2
K14-051017-4,3,8938,"H16,H20,H41"
K05-030817-1,2,2169,"H1,H13"
K05-120617-5,1,11098,H32
K05-300617-3-R,1,12759,H2
K05-060717-5,2,12159,"H2,H27"
M13-170817-7,1,10566,H10
M13-170817-1,2,4948,"H3,H25"
M13-170817-14,2,7874,"H12,H17"
M13-231017-13-R,3,9857,"H11,H21,H101"
M13-031117-7-R,1,9537,H63
M13-250717-4-R,1,10505,H19
M13-300617-2-R,2,9064,"H8,H12"
M05-170817-2,1,15184,H3
M05-170817-5,1,364,H17
M05-130717-4,1,7001,H13
M01-091117-6,3,7623,"H5,H8,H9"
M01-211117-6-R,3,5976,"H5,H8,H14"
M01-050917-3-R,2,4425,"H36,H40"
M01-110717-5-R,3,8017,"H2,H16,H30"
M01-140917-6,1,9322,H9
M01-130717-6,3,9642,"H12,H16,H36"
M01-130617-3,2,11444,"H3,H5"
M01-130617-5,3,6924,"H8,H23,H70"
M01-130617-7,2,8132,"H8,H13"
M01-170817-6,10,6471,"H1,H5,H8,H12,H19,H24,H25,H34,H39,H74"
M15-010817-4-R,5,3220,"H1,H2,H8,H10,H12"
M15-311017-6-R,1,8997,H57
M15-121017-2,2,6651,"H8,H15"
M15-130717-1,1,4970,H12
M15-130717-2,1,14057,H8
M15-130717-4,1,10476,H24
M15-170817-2,2,8098,"H8,H15"
M15-170817-5,7,7357,"H5,H8,H10,H12,H13,H52,H437"
M15-140917-2,1,18952,H11
M15-140917-5,5,7859,"H5,H12,H13,H19,H104"
S02-170617-3-R,2,11473,"H19,H43"
S02-110817-2-R,2,16195,"H3,H46"
S02-120717-3-R,3,15858,"H6,H24,H25"
S02-110817-4-R,7,8952,"H3,H11,H12,H13,H15,H24,H121"
S02-120717-5-R,1,21193,H20
S02-180717-7-R,1,11295,H2
S03-200717-4,2,11166,"H5,H44"
S03-240817-1,1,10540,H3
S03-240817-4,2,850,"H1,H4"
S03-210917-3,1,10637,H17
S09-240817-6,1,13504,H11
S06-200717-1,4,2835,"H1,H2,H14,H40"
S09-120717-3-R,2,8679,"H7,H54"
S09-020817-9-R,2,8844,"H13,H54"
S06-161117-5,1,17715,H14
S06-161117-6,1,6981,H27
M09-140917-3,2,11268,"H20,H46"
M09-140917-4,2,5138,"H9,H20"
M09-091117-3,6,9440,"H2,H8,H10,H14,H20,H46"
M09-091117-5,1,6572,H10
